Date,Stage,Home,Away,Home_goals,Away_goals,Home_shots,Home_shots_on_target,Home_possession,Home_fouls,Home_yellow,Home_red,Home_offsides,Home_corners,Away_shots,Away_shots_on_target,Away_possession,Away_fouls,Away_yellow,Away_red,Away_offsides,Away_corners,Extra_time,Home_extra_goals,Away_extra_goals,Penalties,Home_PK_taken,Home_PK_made,Away_PK_taken,Away_PK_made
2018-06-28,Group-3,Japan,Poland,0,1,10,3,55,11,1,0,1,5,11,2,45,8,0,0,0,7,,,,,,,,
2018-06-28,Group-3,England,Belgium,0,1,11,2,46,11,0,0,3,7,14,4,54,14,2,0,1,2,,,,,,,,
2018-06-28,Group-3,Panama,Tunisia,1,2,9,4,30,18,3,0,4,0,14,6,70,19,3,0,1,6,,,,,,,,
2018-06-30,Last-16,France,Argentina,4,3,9,4,39,21,3,0,0,0,10,4,61,15,5,0,1,4,N,,,N,,,,
2018-06-30,Last-16,Uruguay,Portugal,2,1,5,3,33,13,0,0,0,2,20,5,67,13,1,0,1,10,N,,,N,,,,
2018-07-01,Last-16,Spain,Russia,1,1,24,9,79,5,1,0,1,6,7,1,21,19,2,0,1,5,Y,0,0,Y,5,3,4,4
2018-07-01,Last-16,Croatia,Denmark,1,1,20,6,54,5,0,0,2,5,14,3,46,19,1,0,0,4,Y,0,0,Y,5,3,5,2
2018-07-02,Last-16,Brazil,Mexico,2,0,20,10,48,6,2,0,0,8,14,1,52,17,4,0,2,7,N,,,N,,,,
2018-07-02,Last-16,Belgium,Japan,3,2,24,8,58,13,0,0,1,10,11,4,42,9,1,0,1,6,N,,,N,,,,
2018-07-03,Last-16,Sweden,Switzerland,1,0,12,3,32,11,1,0,1,3,18,4,68,13,2,1,0,11,N,,,N,,,,
2018-07-03,Last-16,Colombia,England,1,1,14,4,47,23,6,0,1,2,16,2,53,13,2,0,2,7,Y,0,0,Y,5,3,5,4
2018-07-06,QFinals,Uruguay,France,0,2,11,4,38,17,2,0,0,4,11,2,62,15,2,0,0,3,N,,,N,,,,
2018-07-06,QFinals,Brazil,Belgium,1,2,27,9,59,14,2,0,1,8,9,3,41,16,2,0,0,4,N,,,N,,,,
2018-07-07,QFinals,Sweden,England,0,2,6,3,42,10,2,0,2,1,12,2,58,7,1,0,1,6,N,,,N,,,,
2018-07-07,QFinals,Russia,Croatia,2,2,13,5,35,25,1,0,1,6,18,3,65,18,4,0,0,8,Y,1,1,Y,5,3,5,4
2018-07-10,SFinals,France,Belgium,1,0,19,5,36,6,2,0,1,4,9,3,64,16,3,0,1,5,N,,,N,,,,
2018-07-11,SFinals,Croatia,England,2,1,22,7,56,23,2,0,1,8,11,2,44,14,1,0,3,4,Y,1,0,N,,,,
2018-07-14,Third-Place,Belgium,England,2,0,12,4,42,11,1,0,1,4,15,6,58,4,2,0,0,5,N,,,N,,,,
2018-07-15,Final,Croatia,France,4,2,7,6,34,13,2,0,1,2,14,4,66,13,1,0,1,6,N,,,N,,,,
